"sku","product_name_in_store","vendor","price_found","source_url","notes"
"92644","גוף תאורה לד מרובע שקוע DISC מידות 300/300 הספק 24W אור טבעי FETAYA","פתיה","","",""
"92544","גוף תאורה לד מרובע שקוע DISC מידות 300/300 הספק 24W אור חם FETAYA","פתיה","","",""
"92444","גוף תאורה לד מרובע שקוע DISC מידות 300/300 הספק 24W אור קר FETAYA","פתיה","","",""
"92648","גוף תאורה לד מרובע צמוד תקרה DISC מידות 300/300 הספק 24W אור טבעי FETAYA","פתיה","","",""
"92548","גוף תאורה לד מרובע צמוד תקרה DISC מידות 300/300 הספק 24W אור חם FETAYA","פתיה","","",""
"92448","גוף תאורה לד מרובע צמוד תקרה DISC מידות 300/300 הספק 24W אור קר FETAYA","פתיה","","",""
"92459","גוף תאורה לד עגול שקוע מתכוונן VIEW 360 7W אור קר FETAYA","פתיה","","",""
"92450","גוף תאורה לד עגול שקוע DISC קוטר 90 הספק 3W אור קר FETAYA","פתיה","","",""
"92650","גוף תאורה לד עגול שקוע DISC קוטר 90 הספק 3W אור טבעי FETAYA","פתיה","","",""
"92550","גוף תאורה לד עגול שקוע DISC קוטר 90 הספק 3W אור חם FETAYA","פתיה","","",""
"92559","גוף תאורה לד עגול שקוע מתכוונן VIEW 360 7W אור חם FETAYA","פתיה","","",""
"92651","גוף תאורה לד עגול שקוע DISC קוטר 120 הספק 6W אור טבעי FETAYA","פתיה","","",""
"92551","גוף תאורה לד עגול שקוע DISC קוטר 120 הספק 6W אור חם FETAYA","פתיה","","",""
"92451","גוף תאורה לד עגול שקוע DISC קוטר 120 הספק 6W אור קר FETAYA","פתיה","","",""
"92656","גוף תאורה לד עגול צמוד תקרה DISC קוטר 170 הספק 12W אור טבעי FETAYA","פתיה","","",""
"92556","גוף תאורה לד עגול צמוד תקרה DISC קוטר 170 הספק 12W אור חם FETAYA","פתיה","","",""
"92456","גוף תאורה לד עגול צמוד תקרה DISC קוטר 170 הספק 12W אור קר FETAYA","פתיה","","",""
"92657","גוף תאורה לד עגול צמוד תקרה DISC קוטר 225 הספק 18W אור טבעי FETAYA","פתיה","","",""
"92557","גוף תאורה לד עגול צמוד תקרה DISC קוטר 225 הספק 18W אור חם FETAYA","פתיה","","",""
"92457","גוף תאורה לד עגול צמוד תקרה DISC קוטר 225 הספק 18W אור קר FETAYA","פתיה","","",""
"92640","גוף תאורה לד מרובע שקוע DISC מידות 86/86 הספק 3W אור טבעי FETAYA","פתיה","","",""
"92540","גוף תאורה לד מרובע שקוע DISC מידות 86/86 הספק 3W אור חם FETAYA","פתיה","","",""
"92440","גוף תאורה לד מרובע שקוע DISC מידות 86/86 הספק 3W אור קר FETAYA","פתיה","","",""
"92641","גוף תאורה לד מרובע שקוע DISC מידות 120/120 הספק 6W אור טבעי FETAYA","פתיה","","",""
"92541","גוף תאורה לד מרובע שקוע DISC מידות 120/120 הספק 6W אור חם FETAYA","פתיה","","",""
"92441","גוף תאורה לד מרובע שקוע DISC מידות 120/120 הספק 6W אור קר FETAYA","פתיה","","",""
"92642","גוף תאורה לד מרובע שקוע DISC מידות 170/170 הספק 12W אור טבעי FETAYA","פתיה","","",""
"92542","גוף תאורה לד מרובע שקוע DISC מידות 170/170 הספק 12W אור חם FETAYA","פתיה","","",""
"92442","גוף תאורה לד מרובע שקוע DISC מידות 170/170 הספק 12W אור קר FETAYA","פתיה","","",""
"92643","גוף תאורה לד מרובע שקוע DISC מידות 225/225 הספק 18W אור טבעי FETAYA","פתיה","","",""
"92543","גוף תאורה לד מרובע שקוע DISC מידות 225/225 הספק 18W אור חם FETAYA","פתיה","","",""
"92443","גוף תאורה לד מרובע שקוע DISC מידות 225/225 הספק 18W אור קר FETAYA","פתיה","","",""
